date,id,topic,video,disk_url,desc_vk,desc_yt,desc_tt,hashtags_vk,hashtags_yt,hashtags_tt,seo_title,seo_keywords,status
2026-06-23 18:55,001,новая-жизнь,20260623_1849_001_новая-жизнь.mp4,yandex:/Content_Factory/20260623_1849_001_новая-жизнь.mp4,Год назад — офис. Сейчас — свобода и доход из 3 источников. Рассказываю как.,"История трансформации: от офиса до автоматизированного бизнеса. Цифры, инструменты, результат.",Как я ушёл из офиса и построил доход на автопилоте,#новаяжизнь #автоматизация #smartagentai,#новаяжизнь #бизнес #AI #мотивация2026,#новаяжизнь #успех #мотивация #ai #бизнес,Как я ушёл из найма и зарабатываю на автопилоте,"новая жизнь, уйти из найма, автоматизация бизнеса, AI агенты",uploaded
2026-06-23 19:49,002,время-деньги,20260623_1948_002_время-деньги.mp4,yandex:/Content_Factory/20260623_1948_002_время-деньги.mp4,720 часов в год уходит на рутину. AI-агент возвращает это время.,Математика времени: сколько часов мы теряем на рутину и как AI возвращает их обратно.,30 дней в году ты просто теряешь. Пора это прекратить.,#продуктивность #smartagentai #автоматизация,#продуктивность #AI #бизнес #автоматизация,#время #продуктивность #ai #автоматизация #бизнес,Сколько времени мы теряем на рутину | AI автоматизация,"экономия времени, автоматизация рутины, AI агент, продуктивность",uploaded
2026-06-23 23:24,003,страх-начать,20260623_2323_003_страх-начать.mp4,yandex:/Content_Factory/20260623_2323_003_страх-начать.mp4,Боялся начинать. Сделал первый шаг. Через 3 месяца — доход.,Как я переборол страх и начал своё дело. Реальная история без прикрас.,Страх — это нормально. Главное — сделать первый шаг.,#мотивация #своёдело #предприниматель,#мотивация #бизнес #старт #предприниматель,#страх #мотивация #начать #успех #бизнес,Как побороть страх и начать своё дело,"страх начать, своё дело, мотивация, предприниматель",uploaded
2026-07-04 23:01,004,ai-революция,20260704_2300_004_ai-революция.mp4,yandex:/Content_Factory/20260704_2300_004_ai-революция.mp4,AI-агенты работают 24/7 без зарплаты и выходных. 2026 год.,Обзор: как AI-агенты меняют малый бизнес в 2026 году. Цифры и факты.,2026. AI агенты уже работают. А ты всё ещё руками?,#AI #нейросети #smartagentai #технологии,#AI #искусственныйинтеллект #бизнес2026 #технологии,#ai #нейросети #будущее #технологии #бизнес2026,AI агенты 2026: как они меняют бизнес,"AI агенты, 2026, автоматизация, нейросети, бизнес",uploaded
2026-07-05 23:02,005,нумерология,20260705_2300_005_нумерология.mp4,yandex:/Content_Factory/20260705_2300_005_нумерология.mp4,"Дата рождения показывает сильные стороны, сценарии и периоды. Без мистики.",Как дата рождения влияет на твои решения. Научный подход к нумерологии.,Дата рождения — твой личный навигатор по жизни. Серьёзно.,#нумерология #Numerologic #самопознание,#нумерология #самопознание #разбор #личность,#нумерология #самопознание #датарождения #разбор,Нумерология по дате рождения: что скрывают цифры,"нумерология, дата рождения, разбор, самопознание, личный месяц",uploaded
2026-07-06 23:02,006,деньги-на-автопилоте,20260706_2300_006_деньги-на-автопилоте.mp4,yandex:/Content_Factory/20260706_2300_006_деньги-на-автопилоте.mp4,3 источника дохода работают 24/7. Рассказываю систему.,Как построить доход на автопилоте с помощью AI-агентов. Пошагово.,Доход на автопилоте — это реально. Вот как.,#доход #smartagentai #автоматизация #бизнес,#пассивныйдоход #бизнес #AI #автоматизация,#пассивныйдоход #деньги #бизнес #автопилот #ai,Пассивный доход 2026: как зарабатывать на автопилоте,"пассивный доход, автопилот, AI агенты, источники дохода",uploaded
2026-07-07 23:01,007,один-как-отдел,20260707_2300_007_один-как-отдел.mp4,yandex:/Content_Factory/20260707_2300_007_один-как-отдел.mp4,Один человек + AI-агенты = целый отдел продаж. Без зарплат.,Как заменить отдел продаж AI-агентами. Реальный кейс с цифрами.,Заменил отдел из 5 человек одним AI. Экономия 500к/мес.,#smartagentai #бизнес #автоматизация,#бизнес #AI #автоматизация #оптимизация,#бизнес #экономия #ai #автоматизация #отделпродаж,Как заменить отдел продаж AI-агентами | Экономия 500к,"отдел продаж, AI агенты, экономия, автоматизация, бизнес",uploaded
2026-07-08 23:01,008,качество-жизни,20260708_2300_008_качество-жизни.mp4,yandex:/Content_Factory/20260708_2300_008_качество-жизни.mp4,Просыпаюсь в 10. Бизнес уже работает. Агенты не спят.,Как AI-агенты изменили качество моей жизни. До/после.,"Качество жизни — когда бизнес работает, а ты живёшь.",#свобода #smartagentai #качествожизни,#свобода #бизнес #AI #worklifebalance,#свобода #качествожизни #бизнес #успех #ai,Качество жизни с AI: как автоматизация даёт свободу,"качество жизни, свобода, автоматизация, AI, work-life balance",uploaded
2026-07-09 23:02,009,ошибки,20260709_2300_009_ошибки.mp4,yandex:/Content_Factory/20260709_2300_009_ошибки.mp4,"3 ошибки, которые стоили мне денег и времени. Делюсь опытом.",Разбор 3 критических ошибок начинающего предпринимателя. Цена: 200 000₽.,200 тысяч рублей — цена моих ошибок. Не повторяй.,#опыт #бизнес #ошибки #предприниматель,#бизнес #ошибки #опыт #предприниматель #советы,#ошибки #бизнес #опыт #совет #предприниматель,3 ошибки начинающего предпринимателя | Опыт и выводы,"ошибки бизнес, опыт предпринимателя, автоматизация, советы",uploaded
2026-07-10 23:01,010,завтра-поздно,20260710_2300_010_завтра-поздно.mp4,yandex:/Content_Factory/20260710_2300_010_завтра-поздно.mp4,Каждый день ожидания = упущенные клиенты и деньги. Действуй.,Математика промедления: сколько денег ты теряешь каждый день без автоматизации.,Промедление стоит денег. Каждый день. Цифры не врут.,#действуй #smartagentai #бизнес,#мотивация #бизнес #действуй #успех,#немедля #действуй #бизнес #мотивация #успех,Цена промедления: сколько денег ты теряешь каждый день,"промедление, цена ожидания, автоматизация, бизнес, действуй",uploaded
