company,niche,channel,contact,source,score,owner,status,next_action,due_date,notes
Dent Alex,стоматология,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://dentalex01.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи"
Terapiakrasoty — Стоматология,стоматология,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://terapiakrasoty.ru/stomatologia,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи"
Авторская профессиональная стоматология SDS-Клиника в Санкт ...,стоматология,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://sdsclinic.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи"
Архив Наша команда,стоматология,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://belayamagiya-dent.ru/team/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи"
Городская стоматология,стоматология,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://www.gorstom.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи"
Доктор Дрим,стоматология,WhatsApp публично указан; онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://drdream.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи"
Зубная клиника в Санкт-Петербурге,стоматология,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://zabotadent.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи"
Имплантация зубов All-on-4 и All-on-6: зубы за 1 неделю,стоматология,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://agami.ru/services/implantatsiya-all-on-4-i-all-on-6/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи"
"Профессиональная гигиена полости рта, цены на чистку зубов",стоматология,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://ofs.team/uslugi/professionalnaya-gigiena/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи"
Сеть платных стоматологических клиник в Санкт-Петербурге ...,стоматология,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://factorsmile.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи"
